Method	Ontology	ID	Description	pvalue	p.adjust	qvalue	Count	GeneRatio	BgRatio
GO_CC_All	Gene Ontology Cellular Component	GO:0005925	focal adhesion	3.336472500592779e-6	4.269518576279532e-4	3.527728987757848e-4	12	12/108	424/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0030055	cell-substrate junction	4.234650229696074e-6	4.269518576279532e-4	3.527728987757848e-4	12	12/108	434/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0044305	calyx of Held	4.590880189547884e-6	4.269518576279532e-4	3.527728987757848e-4	4	4/108	21/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0042470	melanosome	3.187249754030769e-5	0.001778485362749169	0.0014694898865952387	6	6/108	111/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0048770	pigment granule	3.187249754030769e-5	0.001778485362749169	0.0014694898865952387	6	6/108	111/19880
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0030901	midbrain development	3.841555835123129e-6	0.0034343963059301186	0.0026127569150938518	5	5/48	93/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0021762	substantia nigra development	5.634776547875502e-6	0.0034343963059301186	0.0026127569150938518	4	4/48	46/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0048857	neural nucleus development	2.8594193791309678e-5	0.008199163904214638	0.006237609256606448	4	4/48	69/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	3.0421724438812174e-5	0.008199163904214638	0.006237609256606448	3	3/48	24/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0009205	purine ribonucleoside triphosphate metabolic process	4.3671242521229074e-5	0.008199163904214638	0.006237609256606448	6	6/48	254/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0009144	purine nucleoside triphosphate metabolic process	5.080436557118971e-5	0.008199163904214638	0.006237609256606448	6	6/48	261/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0009199	ribonucleoside triphosphate metabolic process	5.080436557118971e-5	0.008199163904214638	0.006237609256606448	6	6/48	261/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0140238	presynaptic endocytosis	5.380911503996481e-5	0.008199163904214638	0.006237609256606448	4	4/48	81/18805
GO_CC_All	Gene Ontology Cellular Component	GO:0098685	Schaffer collateral - CA1 synapse	1.9601552046631137e-4	0.009114721701683478	0.007531122628442489	5	5/108	98/19880
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0009141	nucleoside triphosphate metabolic process	7.064238873424677e-5	0.009568119096338536	0.007279057833318294	6	6/48	277/18805
GO_MF_All	Gene Ontology Molecular Function	GO:0004129	cytochrome-c oxidase activity	6.901689239583703e-5	0.01136545269009724	0.009974643081814477	3	3/102	15/18639
GO_MF_All	Gene Ontology Molecular Function	GO:0019887	protein kinase regulator activity	7.96222153106914e-5	0.01136545269009724	0.009974643081814477	8	8/102	255/18639
GO_MF_All	Gene Ontology Molecular Function	GO:0016675	oxidoreductase activity, acting on a heme group of donors	8.460634756896208e-5	0.01136545269009724	0.009974643081814477	3	3/102	16/18639
GO_CC_All	Gene Ontology Cellular Component	GO:0045277	respiratory chain complex IV	3.2871492547906927e-4	0.011463933026082541	0.009472180089462654	3	3/108	25/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0099523	presynaptic cytosol	3.2871492547906927e-4	0.011463933026082541	0.009472180089462654	3	3/108	25/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0005884	actin filament	4.2854408647086226e-4	0.01328486668059673	0.01097674326749928	5	5/108	116/19880
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:1902600	proton transmembrane transport	1.2023780484593193e-4	0.013583638618724614	0.01033391099097309	5	5/48	190/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0006163	purine nucleotide metabolic process	1.3153833614306163e-4	0.013583638618724614	0.01033391099097309	7	7/48	448/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0035633	maintenance of blood-brain barrier	1.3371916605799456e-4	0.013583638618724614	0.01033391099097309	3	3/48	39/18805
