sample_id	cluster_label
SRR8907879	Cluster_Naive_Enriched
SRR8907880	Cluster_Naive_Enriched
SRR8907881	Cluster_Naive_Enriched
SRR8907882	Cluster_Naive_Enriched
SRR8907883	Cluster_Naive_Enriched
SRR8907884	Cluster_Naive_Enriched
SRR8907885	Cluster_Naive_Enriched
SRR8907886	Cluster_Naive_Enriched
SRR8907887	Cluster_DENV_Enriched
SRR8907888	Cluster_DENV_Enriched
SRR8907889	Cluster_DENV_Enriched
SRR8907890	Cluster_DENV_Enriched
SRR8907891	Cluster_Naive_Enriched
SRR8907892	Cluster_Naive_Enriched
SRR8907893	Cluster_Naive_Enriched
SRR8907894	Cluster_Naive_Enriched
SRR8907895	Cluster_Naive_Enriched
SRR8907896	Cluster_Naive_Enriched
SRR8907897	Cluster_Naive_Enriched
SRR8907898	Cluster_Naive_Enriched
SRR8907899	Cluster_DENV_Enriched
SRR8907900	Cluster_DENV_Enriched
SRR8907901	Cluster_DENV_Enriched
SRR8907902	Cluster_DENV_Enriched
SRR8907903	Cluster_Naive_Enriched
SRR8907904	Cluster_Naive_Enriched
SRR8907905	Cluster_Naive_Enriched
SRR8907906	Cluster_Naive_Enriched
SRR8907907	Cluster_Naive_Enriched
SRR8907908	Cluster_Naive_Enriched
SRR8907909	Cluster_Naive_Enriched
SRR8907910	Cluster_Naive_Enriched
SRR8907911	Cluster_DENV_Enriched
SRR8907912	Cluster_DENV_Enriched
SRR8907913	Cluster_DENV_Enriched
SRR8907914	Cluster_DENV_Enriched
SRR8907915	Cluster_Naive_Enriched
SRR8907916	Cluster_Naive_Enriched
SRR8907917	Cluster_Naive_Enriched
SRR8907918	Cluster_Naive_Enriched
SRR8907919	Cluster_Naive_Enriched
SRR8907920	Cluster_Naive_Enriched
SRR8907921	Cluster_Naive_Enriched
SRR8907922	Cluster_Naive_Enriched
SRR8907923	Cluster_DENV_Enriched
SRR8907924	Cluster_DENV_Enriched
SRR8907925	Cluster_DENV_Enriched
SRR8907926	Cluster_DENV_Enriched
SRR8907927	Cluster_Naive_Enriched
SRR8907928	Cluster_Naive_Enriched
SRR8907929	Cluster_Naive_Enriched
SRR8907930	Cluster_Naive_Enriched
SRR8907931	Cluster_Naive_Enriched
SRR8907932	Cluster_Naive_Enriched
SRR8907933	Cluster_Naive_Enriched
SRR8907934	Cluster_Naive_Enriched
SRR8907935	Cluster_DENV_Enriched
SRR8907936	Cluster_DENV_Enriched
SRR8907937	Cluster_DENV_Enriched
SRR8907938	Cluster_DENV_Enriched
SRR8907939	Cluster_Naive_Enriched
SRR8907940	Cluster_Naive_Enriched
SRR8907941	Cluster_Naive_Enriched
SRR8907942	Cluster_Naive_Enriched
SRR8907943	Cluster_Naive_Enriched
SRR8907944	Cluster_Naive_Enriched
SRR8907945	Cluster_Naive_Enriched
SRR8907946	Cluster_Naive_Enriched
SRR8907947	Cluster_DENV_Enriched
SRR8907948	Cluster_DENV_Enriched
SRR8907949	Cluster_DENV_Enriched
SRR8907950	Cluster_DENV_Enriched
SRR8907951	Cluster_DENV_Enriched
SRR8907952	Cluster_Naive_Enriched
SRR8907953	Cluster_Naive_Enriched
SRR8907954	Cluster_Naive_Enriched
SRR8907955	Cluster_Naive_Enriched
SRR8907956	Cluster_Naive_Enriched
SRR8907957	Cluster_Naive_Enriched
SRR8907958	Cluster_Naive_Enriched
SRR8907959	Cluster_Naive_Enriched
SRR8907960	Cluster_DENV_Enriched
SRR8907961	Cluster_DENV_Enriched
SRR8907962	Cluster_DENV_Enriched
SRR8907963	Cluster_DENV_Enriched
SRR8907964	Cluster_Naive_Enriched
SRR8907965	Cluster_Naive_Enriched
SRR8907966	Cluster_Naive_Enriched
SRR8907967	Cluster_Naive_Enriched
SRR8907968	Cluster_Naive_Enriched
SRR8907969	Cluster_Naive_Enriched
SRR8907970	Cluster_Naive_Enriched
SRR8907971	Cluster_Naive_Enriched
SRR8907972	Cluster_DENV_Enriched
SRR8907973	Cluster_DENV_Enriched
SRR8907974	Cluster_DENV_Enriched
SRR8907975	Cluster_DENV_Enriched
SRR8907976	Cluster_Naive_Enriched
SRR8907977	Cluster_Naive_Enriched
SRR8907978	Cluster_Naive_Enriched
SRR8907979	Cluster_Naive_Enriched
SRR8907980	Cluster_Naive_Enriched
SRR8907981	Cluster_Naive_Enriched
SRR8907982	Cluster_Naive_Enriched
SRR8907983	Cluster_Naive_Enriched
SRR8907984	Cluster_DENV_Enriched
SRR8907985	Cluster_DENV_Enriched
SRR8907986	Cluster_DENV_Enriched
SRR8907987	Cluster_DENV_Enriched
SRR8907988	Cluster_DENV_Enriched
SRR8907989	Cluster_DENV_Enriched
SRR8907990	Cluster_DENV_Enriched
SRR8907991	Cluster_DENV_Enriched
SRR8907992	Cluster_Naive_Enriched
SRR8907993	Cluster_Naive_Enriched
SRR8907994	Cluster_Naive_Enriched
SRR8907995	Cluster_Naive_Enriched
SRR8907996	Cluster_Naive_Enriched
SRR8907997	Cluster_Naive_Enriched
SRR8907998	Cluster_Naive_Enriched
SRR8907999	Cluster_Naive_Enriched
SRR8908000	Cluster_DENV_Enriched
SRR8908001	Cluster_DENV_Enriched
SRR8908002	Cluster_DENV_Enriched
SRR8908003	Cluster_DENV_Enriched
SRR8908004	Cluster_Naive_Enriched
SRR8908005	Cluster_Naive_Enriched
SRR8908006	Cluster_Naive_Enriched
SRR8908007	Cluster_Naive_Enriched
SRR8908008	Cluster_Naive_Enriched
SRR8908009	Cluster_Naive_Enriched
SRR8908010	Cluster_Naive_Enriched
SRR8908011	Cluster_Naive_Enriched
SRR8908012	Cluster_DENV_Enriched
SRR8908013	Cluster_DENV_Enriched
SRR8908014	Cluster_DENV_Enriched
SRR8908015	Cluster_DENV_Enriched
SRR8908016	Cluster_Naive_Enriched
SRR8908017	Cluster_Naive_Enriched
SRR8908018	Cluster_Naive_Enriched
SRR8908019	Cluster_Naive_Enriched
SRR8908020	Cluster_Naive_Enriched
SRR8908021	Cluster_Naive_Enriched
SRR8908022	Cluster_Naive_Enriched
SRR8908023	Cluster_Naive_Enriched
SRR8908024	Cluster_DENV_Enriched
SRR8908025	Cluster_DENV_Enriched
SRR8908026	Cluster_DENV_Enriched
SRR8908027	Cluster_DENV_Enriched
SRR8908028	Cluster_Naive_Enriched
SRR8908029	Cluster_Naive_Enriched
SRR8908030	Cluster_Naive_Enriched
SRR8908031	Cluster_Naive_Enriched
SRR8908032	Cluster_Naive_Enriched
SRR8908033	Cluster_Naive_Enriched
SRR8908034	Cluster_Naive_Enriched
SRR8908035	Cluster_Naive_Enriched
SRR8908036	Cluster_DENV_Enriched
SRR8908037	Cluster_DENV_Enriched
SRR8908038	Cluster_DENV_Enriched
SRR8908039	Cluster_DENV_Enriched
SRR8908040	Cluster_Naive_Enriched
SRR8908041	Cluster_Naive_Enriched
SRR8908042	Cluster_Naive_Enriched
SRR8908043	Cluster_Naive_Enriched
SRR8908044	Cluster_Naive_Enriched
SRR8908045	Cluster_Naive_Enriched
SRR8908046	Cluster_Naive_Enriched
SRR8908047	Cluster_Naive_Enriched
SRR8908048	Cluster_DENV_Enriched
SRR8908049	Cluster_DENV_Enriched
SRR8908050	Cluster_DENV_Enriched
SRR8908051	Cluster_DENV_Enriched
SRR8908052	Cluster_Naive_Enriched
SRR8908053	Cluster_Naive_Enriched
SRR8908054	Cluster_Naive_Enriched
SRR8908055	Cluster_Naive_Enriched
SRR8908056	Cluster_Naive_Enriched
SRR8908057	Cluster_Naive_Enriched
SRR8908058	Cluster_Naive_Enriched
SRR8908059	Cluster_Naive_Enriched
SRR8908060	Cluster_DENV_Enriched
SRR8908061	Cluster_DENV_Enriched
SRR8908062	Cluster_DENV_Enriched
SRR8908063	Cluster_DENV_Enriched
SRR8908064	Cluster_Naive_Enriched
SRR8908065	Cluster_Naive_Enriched
SRR8908066	Cluster_Naive_Enriched
SRR8908067	Cluster_Naive_Enriched
SRR8908068	Cluster_Naive_Enriched
SRR8908069	Cluster_Naive_Enriched
SRR8908070	Cluster_Naive_Enriched
SRR8908071	Cluster_Naive_Enriched
SRR8908072	Cluster_DENV_Enriched
SRR8908073	Cluster_DENV_Enriched
SRR8908074	Cluster_DENV_Enriched
SRR8908075	Cluster_DENV_Enriched
SRR8908076	Cluster_Naive_Enriched
SRR8908077	Cluster_Naive_Enriched
SRR8908078	Cluster_Naive_Enriched
SRR8908079	Cluster_Naive_Enriched
SRR8908080	Cluster_Naive_Enriched
SRR8908081	Cluster_Naive_Enriched
SRR8908082	Cluster_Naive_Enriched
SRR8908083	Cluster_Naive_Enriched
SRR8908084	Cluster_DENV_Enriched
SRR8908085	Cluster_DENV_Enriched
SRR8908086	Cluster_DENV_Enriched
SRR8908087	Cluster_DENV_Enriched
SRR8908088	Cluster_Naive_Enriched
SRR8908089	Cluster_Naive_Enriched
SRR8908090	Cluster_Naive_Enriched
SRR8908091	Cluster_Naive_Enriched
SRR8908092	Cluster_Naive_Enriched
SRR8908093	Cluster_Naive_Enriched
SRR8908094	Cluster_Naive_Enriched
SRR8908095	Cluster_Naive_Enriched
SRR8908096	Cluster_DENV_Enriched
SRR8908097	Cluster_DENV_Enriched
SRR8908098	Cluster_DENV_Enriched
SRR8908099	Cluster_DENV_Enriched
SRR8908100	Cluster_Naive_Enriched
SRR8908101	Cluster_Naive_Enriched
SRR8908102	Cluster_Naive_Enriched
SRR8908103	Cluster_Naive_Enriched
SRR8908104	Cluster_Naive_Enriched
SRR8908105	Cluster_Naive_Enriched
SRR8908106	Cluster_Naive_Enriched
SRR8908107	Cluster_Naive_Enriched
SRR8908108	Cluster_DENV_Enriched
SRR8908109	Cluster_DENV_Enriched
SRR8908110	Cluster_DENV_Enriched
SRR8908111	Cluster_DENV_Enriched
SRR8908112	Cluster_Naive_Enriched
SRR8908113	Cluster_Naive_Enriched
SRR8908114	Cluster_Naive_Enriched
SRR8908115	Cluster_Naive_Enriched
SRR8908116	Cluster_Naive_Enriched
SRR8908117	Cluster_Naive_Enriched
SRR8908118	Cluster_Naive_Enriched
SRR8908119	Cluster_Naive_Enriched
SRR8908120	Cluster_DENV_Enriched
SRR8908121	Cluster_DENV_Enriched
SRR8908122	Cluster_DENV_Enriched
SRR8908123	Cluster_DENV_Enriched
SRR8908124	Cluster_Naive_Enriched
SRR8908125	Cluster_Naive_Enriched
SRR8908126	Cluster_Naive_Enriched
SRR8908127	Cluster_Naive_Enriched
SRR8908128	Cluster_Naive_Enriched
SRR8908129	Cluster_Naive_Enriched
SRR8908130	Cluster_Naive_Enriched
SRR8908131	Cluster_Naive_Enriched
SRR8908132	Cluster_DENV_Enriched
SRR8908133	Cluster_DENV_Enriched
SRR8908134	Cluster_DENV_Enriched
SRR8908135	Cluster_DENV_Enriched
SRR8908136	Cluster_Naive_Enriched
SRR8908137	Cluster_Naive_Enriched
SRR8908138	Cluster_Naive_Enriched
SRR8908139	Cluster_Naive_Enriched
SRR8908140	Cluster_Naive_Enriched
SRR8908141	Cluster_Naive_Enriched
SRR8908142	Cluster_Naive_Enriched
SRR8908143	Cluster_Naive_Enriched
SRR8908144	Cluster_DENV_Enriched
SRR8908145	Cluster_DENV_Enriched
SRR8908146	Cluster_DENV_Enriched
SRR8908147	Cluster_DENV_Enriched
SRR8908148	Cluster_Naive_Enriched
SRR8908149	Cluster_Naive_Enriched
SRR8908150	Cluster_Naive_Enriched
SRR8908151	Cluster_Naive_Enriched
SRR8908152	Cluster_Naive_Enriched
SRR8908153	Cluster_Naive_Enriched
SRR8908154	Cluster_Naive_Enriched
SRR8908155	Cluster_Naive_Enriched
SRR8908156	Cluster_DENV_Enriched
SRR8908157	Cluster_DENV_Enriched
SRR8908158	Cluster_DENV_Enriched
SRR8908159	Cluster_DENV_Enriched
SRR8908160	Cluster_Naive_Enriched
SRR8908161	Cluster_Naive_Enriched
SRR8908162	Cluster_Naive_Enriched
SRR8908163	Cluster_Naive_Enriched
SRR8908164	Cluster_Naive_Enriched
SRR8908165	Cluster_Naive_Enriched
SRR8908166	Cluster_Naive_Enriched
SRR8908167	Cluster_Naive_Enriched
SRR8908168	Cluster_DENV_Enriched
SRR8908169	Cluster_DENV_Enriched
SRR8908170	Cluster_DENV_Enriched
SRR8908171	Cluster_DENV_Enriched
SRR8908172	Cluster_DENV_Enriched
SRR8908173	Cluster_DENV_Enriched
SRR8908174	Cluster_DENV_Enriched
SRR8908175	Cluster_DENV_Enriched
SRR8908176	Cluster_DENV_Enriched
SRR8908177	Cluster_DENV_Enriched
SRR8908178	Cluster_DENV_Enriched
SRR8908179	Cluster_DENV_Enriched
SRR8908180	Cluster_DENV_Enriched
SRR8908181	Cluster_DENV_Enriched
SRR8908182	Cluster_DENV_Enriched
SRR8908183	Cluster_DENV_Enriched
SRR8908184	Cluster_Naive_Enriched
SRR8908185	Cluster_Naive_Enriched
SRR8908186	Cluster_Naive_Enriched
SRR8908187	Cluster_Naive_Enriched
SRR8908188	Cluster_Naive_Enriched
SRR8908189	Cluster_Naive_Enriched
SRR8908190	Cluster_Naive_Enriched
SRR8908191	Cluster_Naive_Enriched
SRR8908192	Cluster_DENV_Enriched
SRR8908193	Cluster_DENV_Enriched
SRR8908194	Cluster_DENV_Enriched
SRR8908195	Cluster_DENV_Enriched
SRR8908196	Cluster_Naive_Enriched
SRR8908197	Cluster_Naive_Enriched
SRR8908198	Cluster_Naive_Enriched
SRR8908199	Cluster_Naive_Enriched
SRR8908200	Cluster_Naive_Enriched
